case_id,submitted_at,complaint_type,ward_or_area,source_channel,assigned_department,predicted_department,routing_confidence,status,is_open_true,stale_risk_score,advisory
TOR311-DD279EA8755A,2026-04-14 14:06:23,Residential - Garbage Night Collection - Whole Street Not Picked Up,Spadina-Fort York (10),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9905,Completed,0,0.0007,Staff decision support only. Not an automated decision.
TOR311-E1C7C7E3874E,2026-04-02 19:40:04,Residential Organics Not Picked Up,Scarborough Southwest (20),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9968,Completed,0,0.0007,Staff decision support only. Not an automated decision.
TOR311-A08E2CE8EB99,2026-04-25 14:15:59,Publication Request - Solid Waste,Toronto-St. Paul's (12),Public 311 benchmark,311,311,0.9892,Completed,0,0.0015,Staff decision support only. Not an automated decision.
TOR311-A48703C20499,2026-04-03 08:30:43,Additional Residential Organic Bin,Beaches-East York (19),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9922,Completed,0,0.0045,Staff decision support only. Not an automated decision.
TOR311-DD865F78E2DE,2026-04-30 13:39:09,Residential: Garbage Bin: Exchange to Large,Scarborough Southwest (20),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9946,In Progress,1,0.0003,Staff decision support only. Not an automated decision.
TOR311-E2E5CF987DC7,2026-04-02 13:08:49,Residential - Garbage Night Collection - Not Picked Up,Toronto-Danforth (14),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9969,Completed,0,0.0003,Staff decision support only. Not an automated decision.
TOR311-05CFA12F8E1E,2026-04-12 21:05:12,Postering City Property / Structures,Willowdale (18),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9955,Completed,0,0.0524,Staff decision support only. Not an automated decision.
TOR311-747692EDC8F7,2026-04-30 15:26:48,Residential / Yard Waste / Missed,Scarborough-Agincourt (22),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9825,Cancelled,0,0.0237,Staff decision support only. Not an automated decision.
TOR311-717ECFA15DF5,2026-04-14 12:19:16,Road Pothole / Road Damage,Scarborough-Agincourt (22),Public 311 benchmark,Transportation Services,Transportation Services,1.0,Completed,0,0.0346,Staff decision support only. Not an automated decision.
TOR311-DD8DE5CAE96C,2026-04-19 15:03:36,Pick up Dead Wildlife,Toronto-Danforth (14),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9985,Cancelled,0,0.0009,Staff decision support only. Not an automated decision.
TOR311-3842978FEA7A,2026-04-16 13:06:20,Culverts - Blocked,Etobicoke Centre (02),Public 311 benchmark,Transportation Services,Transportation Services,0.9684,Completed,0,0.0581,Staff decision support only. Not an automated decision.
TOR311-B435C1EAEDE6,2026-04-02 20:48:38,Road Pothole / Road Damage,Scarborough North (23),Public 311 benchmark,Transportation Services,Transportation Services,1.0,Completed,0,0.0185,Staff decision support only. Not an automated decision.
TOR311-7E724EA69F9B,2026-04-14 05:31:44,Road Pothole / Road Damage,Etobicoke Centre (02),Public 311 benchmark,Transportation Services,Transportation Services,1.0,In Progress,1,0.077,Staff decision support only. Not an automated decision.
TOR311-D78562C826FA,2026-04-25 13:45:30,Road Pothole / Road Damage,Don Valley West (15),Public 311 benchmark,Transportation Services,Transportation Services,1.0,Completed,0,0.0139,Staff decision support only. Not an automated decision.
TOR311-B7AEDD45DBA7,2026-04-06 12:05:54,Request Water Service Turn On,Scarborough North (23),Public 311 benchmark,Toronto Water,Toronto Water,0.9957,Completed,0,0.1626,Staff decision support only. Not an automated decision.
TOR311-A5314FA699FE,2026-04-10 08:45:52,Clean up Debris on Road,York South-Weston (05),Public 311 benchmark,Transportation Services,Transportation Services,0.9958,Completed,0,0.0143,Staff decision support only. Not an automated decision.
TOR311-0028E17FE099,2026-04-30 22:22:00,Graffiti on Private Property,Davenport (09),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.995,In Progress,1,0.3221,Staff decision support only. Not an automated decision.
TOR311-70C3BC1EDB45,2026-04-25 15:19:51,Taxi|| Limo Complaint,Spadina-Fort York (10),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9907,Unknown,1,0.9129,Staff decision support only. Not an automated decision.
TOR311-B60C73A09B79,2026-04-14 15:43:23,Dog Off-Leash,Don Valley North (17),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9892,Completed,0,0.0934,Staff decision support only. Not an automated decision.
TOR311-00370CB78042,2026-04-10 13:23:55,Bins - Complaint - Solid Waste Management,Beaches-East York (19),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9854,Completed,0,0.0076,Staff decision support only. Not an automated decision.
TOR311-C4ACA1371228,2026-04-23 23:57:24,Park Playground Repairs,Scarborough Centre (21),Public 311 benchmark,Parks and Recreation,Parks and Recreation,0.9758,Completed,0,0.1522,Staff decision support only. Not an automated decision.
TOR311-C353EBDEC148,2026-04-15 15:59:49,Residential Organics Not Picked Up,Toronto-Danforth (14),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.997,Cancelled,0,0.001,Staff decision support only. Not an automated decision.
TOR311-E11CD0F04641,2026-04-18 09:59:26,Fence,Don Valley West (15),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9738,In Progress,1,0.2106,Staff decision support only. Not an automated decision.
TOR311-56258DEFD718,2026-04-27 12:43:11,Report an Encroachment on City Property,Scarborough-Guildwood (24),Public 311 benchmark,Transportation Services,Transportation Services,0.9938,Completed,0,0.2359,Staff decision support only. Not an automated decision.
TOR311-A9B65EC211BC,2026-04-09 10:55:00,Catch Basin - Blocked / Flooding,Toronto-Danforth (14),Public 311 benchmark,Transportation Services,Transportation Services,0.998,New,1,0.1167,Staff decision support only. Not an automated decision.
TOR311-737061FC529A,2026-04-19 18:51:02,Residential Front & Side Collected Organics Not Picked Up,Eglinton-Lawrence (08),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9692,Completed,0,0.0019,Staff decision support only. Not an automated decision.
TOR311-4ACDE5731E39,2026-04-26 13:47:44,Amplified or Musical Instrument Noise,Eglinton-Lawrence (08),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9981,Completed,0,0.0214,Staff decision support only. Not an automated decision.
TOR311-B8DC2F65D413,2026-04-24 08:36:30,Non-residential Garbage Bag/s Not Picked Up,Davenport (09),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9947,Cancelled,0,0.0011,Staff decision support only. Not an automated decision.
TOR311-4CD542389188,2026-04-20 10:23:16,Road Pothole / Road Damage,York Centre (06),Public 311 benchmark,Transportation Services,Transportation Services,1.0,In Progress,1,0.3043,Staff decision support only. Not an automated decision.
TOR311-2C3BF86E77E8,2026-04-12 17:48:21,Road Pothole / Road Damage,Eglinton-Lawrence (08),Public 311 benchmark,Transportation Services,Transportation Services,1.0,Completed,0,0.0373,Staff decision support only. Not an automated decision.
TOR311-D6EB0745928C,2026-04-14 19:30:08,Sewer Service Line-Blocked,York South-Weston (05),Public 311 benchmark,Toronto Water,Toronto Water,0.9999,Completed,0,0.125,Staff decision support only. Not an automated decision.
TOR311-B7630FE840F8,2026-04-01 21:38:51,Bicycle Stand (Post and Ring) Repair or Graffiti Removal,Toronto Centre (13),Public 311 benchmark,Transportation Services,Transportation Services,0.9732,Completed,0,0.2559,Staff decision support only. Not an automated decision.
TOR311-C87F536B5A67,2026-04-21 12:48:36,Multi-residential Front End Loaded Oversized Items Not Picked Up,Toronto Centre (13),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9964,Completed,0,0.0004,Staff decision support only. Not an automated decision.
TOR311-8A06240B58BA,2026-04-27 13:07:37,Report an Encroachment on City Property,Scarborough-Guildwood (24),Public 311 benchmark,Transportation Services,Transportation Services,0.9944,Completed,0,0.1617,Staff decision support only. Not an automated decision.
TOR311-F0E602D77B93,2026-04-13 14:02:01,Residential Bin Lid Damaged,Parkdale-High Park (04),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9995,Completed,0,0.0004,Staff decision support only. Not an automated decision.
TOR311-AA6339BBBC81,2026-04-29 14:16:59,Water Service Line-Check Water Service Box,Etobicoke-Lakeshore (03),Public 311 benchmark,Toronto Water,Toronto Water,0.9977,New,1,0.6458,Staff decision support only. Not an automated decision.
TOR311-D9DF63732645,2026-04-11 00:09:39,Waste Set Out - Wrong Location / Time/ Day,Beaches-East York (19),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9963,In Progress,1,0.4205,Staff decision support only. Not an automated decision.
TOR311-421E924F08FC,2026-04-15 09:57:43,Residential - Garbage Day Collection - Not Picked Up,Toronto-St. Paul's (12),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9998,Cancelled,0,0.0003,Staff decision support only. Not an automated decision.
TOR311-8742E2BDE811,2026-04-01 17:01:01,Catch Basin - Blocked / Flooding,Scarborough-Guildwood (24),Public 311 benchmark,Transportation Services,Transportation Services,0.9965,Completed,0,0.0262,Staff decision support only. Not an automated decision.
TOR311-2B760B409094,2026-04-27 13:35:09,Report an Encroachment on City Property,Scarborough Centre (21),Public 311 benchmark,Transportation Services,Transportation Services,0.9959,Completed,0,0.1588,Staff decision support only. Not an automated decision.
TOR311-DE89D73460C0,2026-04-18 04:39:15,Investigate - Dog Excrement,Toronto Centre (13),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9969,Cancelled,0,0.0431,Staff decision support only. Not an automated decision.
TOR311-4DBE2D4BB27E,2026-04-30 11:31:04,Curb Day Collection Staff - Complaint - Solid Waste Management,Toronto-St. Paul's (12),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9943,Completed,0,0.0125,Staff decision support only. Not an automated decision.
TOR311-4F3DEDF8B248,2026-04-28 16:48:04,Missing or Damaged Bike Lane Flexible Bollards,Etobicoke-Lakeshore (03),Public 311 benchmark,Transportation Services,Transportation Services,0.9848,In Progress,1,0.2263,Staff decision support only. Not an automated decision.
TOR311-764A82F748D6,2026-04-29 13:44:03,Clean up Litter on Sidewalks and Boulevards,Toronto Centre (13),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9939,Completed,0,0.0029,Staff decision support only. Not an automated decision.
TOR311-BE469019A781,2026-04-30 20:16:18,Encroachments,University-Rosedale (11),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9612,Cancelled,0,0.1809,Staff decision support only. Not an automated decision.
TOR311-5C81E527793C,2026-04-09 17:52:25,Moving Motor Vehicle Noise,York Centre (06),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9969,Completed,0,0.0047,Staff decision support only. Not an automated decision.
TOR311-C0128F1C5239,2026-04-02 10:41:02,Clean up Illegal Dumping on City Road Allowance,Scarborough-Rouge Park (25),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9966,Cancelled,0,0.0059,Staff decision support only. Not an automated decision.
TOR311-63EA5E2FD379,2026-04-22 06:49:58,Pick up Dead Wildlife,Spadina-Fort York (10),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9939,Cancelled,0,0.0014,Staff decision support only. Not an automated decision.
TOR311-1C81B4FA2C85,2026-04-14 11:32:19,Bridge - Graffiti Complaint,University-Rosedale (11),Public 311 benchmark,Transportation Services,Transportation Services,0.9591,New,1,0.6762,Staff decision support only. Not an automated decision.
TOR311-5CF01F41AD27,2026-04-12 19:50:45,Damaged Concrete Sidewalk,York Centre (06),Public 311 benchmark,Transportation Services,Transportation Services,0.9953,Completed,0,0.227,Staff decision support only. Not an automated decision.
TOR311-2D1DED9EB76F,2026-04-30 10:21:11,Clean up Debris on Road,York South-Weston (05),Public 311 benchmark,Transportation Services,Transportation Services,0.9981,Completed,0,0.018,Staff decision support only. Not an automated decision.
TOR311-C4DDD8931D8B,2026-04-13 08:51:09,Multi-Tenant Houses Licensing and Violations,Toronto Centre (13),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9944,In Progress,1,0.1239,Staff decision support only. Not an automated decision.
TOR311-A5C62469EED9,2026-04-17 13:57:55,Culverts-Damaged / Maintenance Requested,Scarborough-Rouge Park (25),Public 311 benchmark,Transportation Services,Transportation Services,0.9528,In Progress,1,0.2651,Staff decision support only. Not an automated decision.
TOR311-C93083E8F000,2026-04-01 09:27:42,Catch basin (Storm)-Overflowing,Scarborough Southwest (20),Public 311 benchmark,Toronto Water,Toronto Water,0.981,Cancelled,0,0.095,Staff decision support only. Not an automated decision.
TOR311-C59A862F91C1,2026-04-26 11:44:02,Pick up Dead Wildlife,Etobicoke-Lakeshore (03),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.998,Cancelled,0,0.0004,Staff decision support only. Not an automated decision.
TOR311-6B4BD374B169,2026-04-16 17:23:32,Sidewalk - Cleaning,Scarborough-Agincourt (22),Public 311 benchmark,Transportation Services,Transportation Services,0.9945,Completed,0,0.54,Staff decision support only. Not an automated decision.
TOR311-E7ECD701B7A5,2026-04-16 21:13:15,Catch Basin - Blocked / Flooding,Scarborough-Agincourt (22),Public 311 benchmark,Transportation Services,Transportation Services,0.9982,Completed,0,0.0274,Staff decision support only. Not an automated decision.
TOR311-5484BB2B08EE,2026-04-04 17:23:55,Waste or Illegal Dumping on Private Property,York Centre (06),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9985,In Progress,1,0.1576,Staff decision support only. Not an automated decision.
TOR311-A28B5209897D,2026-04-22 21:03:52,Waste or Illegal Dumping on Private Property,Don Valley North (17),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9979,Completed,0,0.2254,Staff decision support only. Not an automated decision.
TOR311-49DF09358EFD,2026-04-08 11:24:19,Request Water Service Turn On,Eglinton-Lawrence (08),Public 311 benchmark,Toronto Water,Toronto Water,0.9964,Cancelled,0,0.3563,Staff decision support only. Not an automated decision.
TOR311-7CAD4E23CF71,2026-04-15 16:39:55,Missing/Damaged/Faded Emergency Traffic Signs,Beaches-East York (19),Public 311 benchmark,Transportation Services,Transportation Services,0.9953,Completed,0,0.3739,Staff decision support only. Not an automated decision.
TOR311-D8DC6F28F4BE,2026-04-06 12:14:20,Bin Investigation Request,Toronto-Danforth (14),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9832,Completed,0,0.0249,Staff decision support only. Not an automated decision.
TOR311-133F3D7D1193,2026-04-21 20:19:11,Residential Organics Not Picked Up,Beaches-East York (19),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.996,Completed,0,0.0007,Staff decision support only. Not an automated decision.
TOR311-CB01EC8FD51D,2026-04-15 14:43:51,Hazardous Waste Pick-up,Parkdale-High Park (04),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9999,Completed,0,0.0032,Staff decision support only. Not an automated decision.
TOR311-89BB6036D1F0,2026-04-01 13:34:10,Zoning Regulations Violations,Scarborough Centre (21),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9966,Completed,0,0.4757,Staff decision support only. Not an automated decision.
TOR311-F2285ADD33DD,2026-04-25 14:52:51,Residential Bin Lid Damaged,Parkdale-High Park (04),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9996,Completed,0,0.0002,Staff decision support only. Not an automated decision.
TOR311-3BD0D39C9767,2026-04-17 10:37:48,Walkway-Weeds Need Cutting,Willowdale (18),Public 311 benchmark,Transportation Services,Transportation Services,0.691,Completed,0,0.1533,Staff decision support only. Not an automated decision.
TOR311-2BBAC8EE3DF6,2026-04-27 11:41:08,Residential or Park Tree Removal,Davenport (09),Public 311 benchmark,"Environment, Climate & Forestry","Environment, Climate & Forestry",0.9916,New,1,0.5845,Staff decision support only. Not an automated decision.
TOR311-76EE9263D8FD,2026-04-01 11:16:37,Street Furniture Request,Spadina-Fort York (10),Public 311 benchmark,Transportation Services,Transportation Services,0.9932,Unknown,1,0.9879,Staff decision support only. Not an automated decision.
TOR311-6D3DA027DB1C,2026-04-16 16:11:40,Postering City Property / Structures,Toronto Centre (13),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9961,Completed,0,0.0526,Staff decision support only. Not an automated decision.
TOR311-49B268FD206B,2026-04-30 23:19:29,Injured - Wildlife,Don Valley East (16),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9982,Completed,0,0.0039,Staff decision support only. Not an automated decision.
TOR311-7848CF65F4E0,2026-04-08 16:29:27,Waste or Illegal Dumping on Private Property,Scarborough Southwest (20),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9968,In Progress,1,0.124,Staff decision support only. Not an automated decision.
TOR311-EE6B7C39EEFE,2026-04-20 15:36:29,Road Pothole / Road Damage,Humber River-Black Creek (07),Public 311 benchmark,Transportation Services,Transportation Services,0.9999,Completed,0,0.1795,Staff decision support only. Not an automated decision.
TOR311-C3A84C6FD471,2026-04-23 22:39:25,Residential - Garbage Day Collection - Not Picked Up,Scarborough Southwest (20),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9996,Completed,0,0.0003,Staff decision support only. Not an automated decision.
TOR311-D6B48C8BD0DE,2026-04-23 12:18:53,Report an Encroachment on City Property,Davenport (09),Public 311 benchmark,Transportation Services,Transportation Services,0.997,Completed,0,0.766,Staff decision support only. Not an automated decision.
TOR311-6BF91B3191A0,2026-04-24 16:32:47,Investigate - Animal to Animal Bite,Willowdale (18),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.994,Completed,0,0.0052,Staff decision support only. Not an automated decision.
TOR311-0A72878E8B89,2026-04-14 18:46:17,Residential Bin Body or Handle Damaged,Etobicoke Centre (02),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9914,Completed,0,0.0006,Staff decision support only. Not an automated decision.
TOR311-D7575B41165A,2026-04-15 12:48:13,Dangerous Private Tree Investigation,Scarborough North (23),Public 311 benchmark,"Environment, Climate & Forestry","Environment, Climate & Forestry",0.9829,Completed,0,0.2016,Staff decision support only. Not an automated decision.
TOR311-30C7AA51F875,2026-04-02 13:33:39,Residential Organics Not Picked Up,Scarborough-Agincourt (22),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9962,Cancelled,0,0.0014,Staff decision support only. Not an automated decision.
TOR311-E094301ED379,2026-04-03 08:04:04,Traffic Signal Repair,Scarborough Centre (21),Public 311 benchmark,Transportation Services,Transportation Services,0.9991,Completed,0,0.0306,Staff decision support only. Not an automated decision.
TOR311-C47010E7E09E,2026-04-10 17:20:21,Residential Organic Bin Whole Street Not Picked Up,Scarborough-Guildwood (24),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9966,Cancelled,0,0.0008,Staff decision support only. Not an automated decision.
TOR311-1B8F696B233F,2026-04-13 10:07:50,Property Standards and Maintenance Violations,Scarborough-Agincourt (22),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9999,Completed,0,0.1628,Staff decision support only. Not an automated decision.
TOR311-B61D367D810B,2026-04-01 13:12:24,Catch Basin - Blocked / Flooding,Etobicoke-Lakeshore (03),Public 311 benchmark,Transportation Services,Transportation Services,0.9978,Completed,0,0.0355,Staff decision support only. Not an automated decision.
TOR311-1DD1276E06B1,2026-04-20 11:30:08,Pick up Dead Domestic Animals,York South-Weston (05),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9933,Completed,0,0.007,Staff decision support only. Not an automated decision.
TOR311-8A81DB32FEEB,2026-04-06 08:02:59,Pick up Dead Wildlife,Etobicoke North (01),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9978,Completed,0,0.0004,Staff decision support only. Not an automated decision.
TOR311-F9F16B700077,2026-04-03 19:31:26,Walkway - Damaged or Uneven,Don Valley West (15),Public 311 benchmark,Transportation Services,Transportation Services,0.9934,In Progress,1,0.3066,Staff decision support only. Not an automated decision.
TOR311-E809DC373BCA,2026-04-03 10:02:58,Residential - Garbage Day Collection - Not Picked Up,Toronto-Danforth (14),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9998,Cancelled,0,0.0001,Staff decision support only. Not an automated decision.
TOR311-ED9E850D9F75,2026-04-03 16:53:55,Traffic Signal Equipment - Graffiti Complaint,University-Rosedale (11),Public 311 benchmark,Transportation Services,Transportation Services,0.9954,Completed,0,0.0597,Staff decision support only. Not an automated decision.
TOR311-114BE5DA1BA0,2026-04-30 12:07:26,Road Pothole / Road Damage,Scarborough-Guildwood (24),Public 311 benchmark,Transportation Services,Transportation Services,1.0,In Progress,1,0.0704,Staff decision support only. Not an automated decision.
TOR311-0E907F31773F,2026-04-06 06:59:06,Road Pothole / Road Damage,Etobicoke-Lakeshore (03),Public 311 benchmark,Transportation Services,Transportation Services,1.0,In Progress,1,0.0739,Staff decision support only. Not an automated decision.
TOR311-F987192BA044,2026-04-23 14:45:30,Residential Bin Lid Damaged,Scarborough Southwest (20),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9996,Completed,0,0.0002,Staff decision support only. Not an automated decision.
TOR311-917932DA5450,2026-04-02 13:26:50,Residential: Garbage Bin: Exchange to Extra Large,Scarborough-Guildwood (24),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.992,Completed,0,0.0001,Staff decision support only. Not an automated decision.
TOR311-400C7ABC7AD5,2026-04-04 10:13:20,Contractor Complaint,Etobicoke Centre (02),Public 311 benchmark,Transportation Services,Transportation Services,0.9932,Completed,0,0.0668,Staff decision support only. Not an automated decision.
TOR311-80E6DB6E303C,2026-04-18 13:26:28,Clean up Litter on Sidewalks and Boulevards,Parkdale-High Park (04),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9873,Completed,0,0.0034,Staff decision support only. Not an automated decision.
TOR311-9EE29ABD9CE9,2026-04-28 10:50:37,Road Pothole / Road Damage,Etobicoke North (01),Public 311 benchmark,Transportation Services,Transportation Services,1.0,Completed,0,0.1157,Staff decision support only. Not an automated decision.
TOR311-A94E37847B49,2026-04-21 16:01:38,Catch Basin - Blocked / Flooding,Parkdale-High Park (04),Public 311 benchmark,Transportation Services,Transportation Services,0.9971,Completed,0,0.1005,Staff decision support only. Not an automated decision.
TOR311-4B0C37806685,2026-04-23 10:08:04,Dangerous or Trapped Wildlife in a Park,Parkdale-High Park (04),Public 311 benchmark,Parks and Recreation,Municipal Licensing & Standards,0.4544,Cancelled,0,0.1349,Staff decision support only. Not an automated decision.
TOR311-528538AD1E9D,2026-04-01 15:23:04,Stump Removal,Toronto-St. Paul's (12),Public 311 benchmark,"Environment, Climate & Forestry","Environment, Climate & Forestry",0.9728,New,1,0.4073,Staff decision support only. Not an automated decision.
TOR311-55B25BC908C1,2026-04-13 08:24:00,Injured - Wildlife,Humber River-Black Creek (07),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.998,Closed,0,0.0021,Staff decision support only. Not an automated decision.
TOR311-26D60F57F00A,2026-04-23 20:51:23,Park Garbage Bin Overflowing,Scarborough Centre (21),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9815,Cancelled,0,0.086,Staff decision support only. Not an automated decision.
TOR311-1D062BAF5825,2026-04-10 12:28:36,Property Standards and Maintenance Violations,Scarborough-Guildwood (24),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9999,In Progress,1,0.4786,Staff decision support only. Not an automated decision.
TOR311-289BA1BADB81,2026-04-23 14:24:52,Injured - Wildlife,Etobicoke Centre (02),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9983,Cancelled,0,0.0005,Staff decision support only. Not an automated decision.
TOR311-701BAFCC68FE,2026-04-21 07:52:18,Road - Graffiti Complaint,University-Rosedale (11),Public 311 benchmark,Transportation Services,Transportation Services,0.9698,Completed,0,0.2426,Staff decision support only. Not an automated decision.
TOR311-68D4B92CDD8C,2026-04-15 01:58:36,Stationary Motor Vehicle Noise,Scarborough North (23),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9926,Completed,0,0.008,Staff decision support only. Not an automated decision.
TOR311-2E35DA482FF5,2026-04-29 12:19:06,Park Litter and Garbage,Scarborough Southwest (20),Public 311 benchmark,Parks and Recreation,Parks and Recreation,0.9895,In Progress,1,0.1472,Staff decision support only. Not an automated decision.
TOR311-24FB4C4DD7AA,2026-04-28 22:32:15,Residential Oversized/Electronics Item Day Collection Not Picked Up,Scarborough-Rouge Park (25),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9975,Completed,0,0.0001,Staff decision support only. Not an automated decision.
TOR311-10DD7938725F,2026-04-06 18:57:21,Residential: Garbage Bin: Additional Extra Large,Don Valley East (16),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9742,Completed,0,0.0022,Staff decision support only. Not an automated decision.
TOR311-74A886D93903,2026-04-30 14:40:04,Traffic Signal Repair,York South-Weston (05),Public 311 benchmark,Transportation Services,Transportation Services,0.9977,Completed,0,0.087,Staff decision support only. Not an automated decision.
TOR311-37E7659D0D9A,2026-04-28 12:05:39,Publication Request - Solid Waste,Parkdale-High Park (04),Public 311 benchmark,311,311,0.9915,Completed,0,0.0007,Staff decision support only. Not an automated decision.
TOR311-B870EAD58B70,2026-04-14 14:31:48,Catch Basin - Blocked / Flooding,Eglinton-Lawrence (08),Public 311 benchmark,Transportation Services,Transportation Services,0.998,Completed,0,0.0186,Staff decision support only. Not an automated decision.
TOR311-2F0186650A6B,2026-04-19 12:07:36,Road Pothole / Road Damage,York Centre (06),Public 311 benchmark,Transportation Services,Transportation Services,1.0,Completed,0,0.1148,Staff decision support only. Not an automated decision.
TOR311-ED4F84213724,2026-04-09 16:11:11,Clean up Debris on Road,Etobicoke Centre (02),Public 311 benchmark,Transportation Services,Transportation Services,0.9963,Completed,0,0.0256,Staff decision support only. Not an automated decision.
TOR311-EDF040853A47,2026-04-18 15:24:58,Property Standards and Maintenance Violations,Scarborough-Agincourt (22),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9999,In Progress,1,0.2353,Staff decision support only. Not an automated decision.
TOR311-ECE2FF1988B5,2026-04-17 20:04:13,Sewer Service Line-Blocked,Scarborough Southwest (20),Public 311 benchmark,Toronto Water,Toronto Water,0.9999,In Progress,1,0.1046,Staff decision support only. Not an automated decision.
TOR311-B04CC17FCE01,2026-04-26 20:06:17,Road Pothole / Road Damage,Etobicoke North (01),Public 311 benchmark,Transportation Services,Transportation Services,1.0,In Progress,1,0.3156,Staff decision support only. Not an automated decision.
TOR311-9A67170F60EE,2026-04-01 16:07:11,Injured - Wildlife,Scarborough Centre (21),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9989,Completed,0,0.0004,Staff decision support only. Not an automated decision.
TOR311-3C08FFFE0193,2026-04-17 12:07:44,Bins - Complaint - Solid Waste Management,Willowdale (18),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9896,Completed,0,0.008,Staff decision support only. Not an automated decision.
TOR311-3730212122F3,2026-04-06 18:08:16,Roadside Utility Cut - Settlement,York Centre (06),Public 311 benchmark,Transportation Services,Transportation Services,0.9777,Completed,0,0.2186,Staff decision support only. Not an automated decision.
TOR311-5D1F4D7095DA,2026-04-24 11:26:58,Pick up Dead Wildlife,Don Valley West (15),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9966,Completed,0,0.0013,Staff decision support only. Not an automated decision.
